loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4412,5.7886505126953125,4.9404547094911586e-05,0.03608805485384338,100,,,,,,,,,,,,,
0.3527,6.081217288970947,4.88030795140142e-05,0.07217610970768676,200,,,,,,,,,,,,,
0.3486,1.618322491645813,4.820161193311681e-05,0.10826416456153014,300,,,,,,,,,,,,,
0.3281,2.327662706375122,4.760014435221942e-05,0.14435221941537352,400,,,,,,,,,,,,,
0.3234,2.2564873695373535,4.699867677132203e-05,0.18044027426921688,500,,,,,,,,,,,,,
0.3101,5.505742073059082,4.639720919042464e-05,0.21652832912306028,600,,,,,,,,,,,,,
0.3073,3.083125114440918,4.579574160952725e-05,0.25261638397690367,700,,,,,,,,,,,,,
0.3247,4.927108287811279,4.519427402862986e-05,0.28870443883074703,800,,,,,,,,,,,,,
0.2912,7.771728038787842,4.459280644773247e-05,0.3247924936845904,900,,,,,,,,,,,,,
0.3023,11.035303115844727,4.399133886683508e-05,0.36088054853843377,1000,,,,,,,,,,,,,
0.2952,1.3787201642990112,4.3389871285937686e-05,0.39696860339227713,1100,,,,,,,,,,,,,
0.2992,3.996711015701294,4.27884037050403e-05,0.43305665824612055,1200,,,,,,,,,,,,,
0.3069,2.0498743057250977,4.218693612414291e-05,0.4691447130999639,1300,,,,,,,,,,,,,
0.2975,7.230093955993652,4.158546854324552e-05,0.5052327679538073,1400,,,,,,,,,,,,,
0.2968,4.471950531005859,4.098400096234813e-05,0.5413208228076507,1500,,,,,,,,,,,,,
0.2899,6.680893421173096,4.038253338145074e-05,0.5774088776614941,1600,,,,,,,,,,,,,
0.2879,16.541141510009766,3.978106580055335e-05,0.6134969325153374,1700,,,,,,,,,,,,,
0.2908,6.023307800292969,3.917959821965596e-05,0.6495849873691808,1800,,,,,,,,,,,,,
0.2772,4.5884881019592285,3.8578130638758575e-05,0.6856730422230242,1900,,,,,,,,,,,,,
0.2815,4.1917643547058105,3.7976663057861184e-05,0.7217610970768675,2000,,,,,,,,,,,,,
0.2796,2.730860948562622,3.737519547696379e-05,0.7578491519307109,2100,,,,,,,,,,,,,
0.2618,3.8204410076141357,3.67737278960664e-05,0.7939372067845543,2200,,,,,,,,,,,,,
0.2787,2.6842920780181885,3.6172260315169016e-05,0.8300252616383977,2300,,,,,,,,,,,,,
0.2962,3.804763078689575,3.5570792734271625e-05,0.8661133164922411,2400,,,,,,,,,,,,,
0.2906,15.162954330444336,3.4969325153374234e-05,0.9022013713460845,2500,,,,,,,,,,,,,
0.276,2.5646841526031494,3.436785757247685e-05,0.9382894261999278,2600,,,,,,,,,,,,,
0.2694,0.8482794761657715,3.376638999157946e-05,0.9743774810537712,2700,,,,,,,,,,,,,
,,,1.0,2771,0.2745501697063446,0.8911748781808337,0.8560630956293132,0.9404332129963899,0.8962669877859969,41.3026,134.156,8.401,,,,,
0.2793,4.162158012390137,3.3164922410682066e-05,1.0104655359076147,2800,,,,,,,,,,,,,
0.2064,8.770302772521973,3.256345482978468e-05,1.046553590761458,2900,,,,,,,,,,,,,
0.2209,6.183856964111328,3.196198724888729e-05,1.0826416456153014,3000,,,,,,,,,,,,,
0.2345,2.4634716510772705,3.13605196679899e-05,1.1187297004691448,3100,,,,,,,,,,,,,
0.2219,9.90771198272705,3.075905208709251e-05,1.1548177553229881,3200,,,,,,,,,,,,,
0.2186,7.335127830505371,3.015758450619512e-05,1.1909058101768315,3300,,,,,,,,,,,,,
0.2224,7.6626996994018555,2.9556116925297728e-05,1.2269938650306749,3400,,,,,,,,,,,,,
0.2016,11.680990219116211,2.8954649344400337e-05,1.2630819198845182,3500,,,,,,,,,,,,,
0.2296,2.215442657470703,2.8353181763502952e-05,1.2991699747383616,3600,,,,,,,,,,,,,
0.2,6.965683937072754,2.775171418260556e-05,1.335258029592205,3700,,,,,,,,,,,,,
0.2055,15.599666595458984,2.715024660170817e-05,1.3713460844460483,3800,,,,,,,,,,,,,
0.2317,4.154698848724365,2.654877902081078e-05,1.4074341392998917,3900,,,,,,,,,,,,,
0.2282,6.573809623718262,2.594731143991339e-05,1.443522194153735,4000,,,,,,,,,,,,,
0.2362,2.0832619667053223,2.5345843859016e-05,1.4796102490075784,4100,,,,,,,,,,,,,
0.1993,14.045145988464355,2.474437627811861e-05,1.5156983038614218,4200,,,,,,,,,,,,,
0.2085,13.187554359436035,2.414290869722122e-05,1.5517863587152654,4300,,,,,,,,,,,,,
0.2082,9.037489891052246,2.354144111632383e-05,1.5878744135691085,4400,,,,,,,,,,,,,
0.2207,1.5279502868652344,2.2939973535426443e-05,1.623962468422952,4500,,,,,,,,,,,,,
0.2129,4.145646095275879,2.233850595452905e-05,1.6600505232767953,4600,,,,,,,,,,,,,
0.1939,1.5496851205825806,2.1737038373631664e-05,1.6961385781306388,4700,,,,,,,,,,,,,
0.2401,6.383823871612549,2.1135570792734272e-05,1.732226632984482,4800,,,,,,,,,,,,,
0.2076,3.520073652267456,2.0534103211836884e-05,1.7683146878383256,4900,,,,,,,,,,,,,
0.2184,6.868893146514893,1.9932635630939496e-05,1.804402742692169,5000,,,,,,,,,,,,,
0.185,5.338780403137207,1.9331168050042105e-05,1.8404907975460123,5100,,,,,,,,,,,,,
0.1936,6.205496311187744,1.8729700469144713e-05,1.8765788523998557,5200,,,,,,,,,,,,,
0.2248,4.504264831542969,1.8128232888247322e-05,1.912666907253699,5300,,,,,,,,,,,,,
0.1727,5.7441911697387695,1.7526765307349934e-05,1.9487549621075424,5400,,,,,,,,,,,,,
0.1987,30.628257751464844,1.6925297726452543e-05,1.9848430169613858,5500,,,,,,,,,,,,,
,,,2.0,5542,0.3446590304374695,0.8911748781808337,0.8999630860095976,0.8801444043321299,0.8899434203321774,40.9343,135.363,8.477,,,,,
0.1823,13.916055679321289,1.6323830145555155e-05,2.0209310718152294,5600,,,,,,,,,,,,,
0.1384,2.32454252243042,1.5722362564657767e-05,2.0570191266690725,5700,,,,,,,,,,,,,
0.1575,4.12351131439209,1.5120894983760375e-05,2.093107181522916,5800,,,,,,,,,,,,,
0.1302,0.21058183908462524,1.4519427402862987e-05,2.1291952363767592,5900,,,,,,,,,,,,,
0.1698,1.9452859163284302,1.3917959821965596e-05,2.165283291230603,6000,,,,,,,,,,,,,
0.1323,1.4235235452651978,1.3316492241068206e-05,2.201371346084446,6100,,,,,,,,,,,,,
0.1144,0.3878341615200043,1.2715024660170818e-05,2.2374594009382895,6200,,,,,,,,,,,,,
0.1483,0.765891969203949,1.2113557079273427e-05,2.2735474557921327,6300,,,,,,,,,,,,,
0.1548,0.3553009331226349,1.1512089498376039e-05,2.3096355106459763,6400,,,,,,,,,,,,,
0.1659,0.5289838910102844,1.0910621917478649e-05,2.3457235654998194,6500,,,,,,,,,,,,,
0.13,1.2688227891921997,1.030915433658126e-05,2.381811620353663,6600,,,,,,,,,,,,,
0.1519,13.339654922485352,9.70768675568387e-06,2.417899675207506,6700,,,,,,,,,,,,,
0.1586,22.73616600036621,9.106219174786478e-06,2.4539877300613497,6800,,,,,,,,,,,,,
0.1608,4.033571243286133,8.50475159388909e-06,2.490075784915193,6900,,,,,,,,,,,,,
0.1633,5.574557304382324,7.9032840129917e-06,2.5261638397690365,7000,,,,,,,,,,,,,
0.1528,59.23921585083008,7.301816432094311e-06,2.5622518946228796,7100,,,,,,,,,,,,,
0.1259,1.0515551567077637,6.70034885119692e-06,2.598339949476723,7200,,,,,,,,,,,,,
0.1254,0.2773844003677368,6.098881270299531e-06,2.634428004330567,7300,,,,,,,,,,,,,
0.1574,6.391206741333008,5.497413689402142e-06,2.67051605918441,7400,,,,,,,,,,,,,
0.1321,34.53865432739258,4.895946108504752e-06,2.706604114038253,7500,,,,,,,,,,,,,
0.1345,0.4485887587070465,4.294478527607362e-06,2.7426921688920967,7600,,,,,,,,,,,,,
0.1702,1.0070968866348267,3.6930109467099726e-06,2.7787802237459402,7700,,,,,,,,,,,,,
0.1651,5.921710968017578,3.091543365812583e-06,2.8148682785997834,7800,,,,,,,,,,,,,
0.1224,12.96147632598877,2.490075784915193e-06,2.850956333453627,7900,,,,,,,,,,,,,
0.1455,0.22185593843460083,1.8886082040178035e-06,2.88704438830747,8000,,,,,,,,,,,,,
0.1364,20.389190673828125,1.2871406231204138e-06,2.9231324431613137,8100,,,,,,,,,,,,,
0.1339,14.12246036529541,6.856730422230243e-07,2.959220498015157,8200,,,,,,,,,,,,,
0.133,0.9248583912849426,8.420546132563456e-08,2.9953085528690004,8300,,,,,,,,,,,,,
,,,3.0,8313,0.4010728597640991,0.8915358238585093,0.87512971290211,0.9133574007220217,0.8938350114820703,40.7887,135.846,8.507,,,,,
,,,3.0,8313,,,,,,,,,3129.101,42.5,2.657,8747587479790080.0,0.22060585105145264
,,,3.0,8313,0.2707692086696625,0.8949837603753158,0.858734841035726,0.9455070371706965,0.9000343524562007,41.7494,132.744,8.311,,,,,
